,mean_difference,bias,std_error,bca_ci_lower,bca_ci_upper,effect_size_cohen_d,effect_size_hedges_g,wilcoxon_stat,wilcoxon_rbc,p_value,significant,channel_pair,frequency_band,channel_pair_type,bonferroni_corrected_p,fdr_corrected_p
0,-0.015733333333333297,5.3469999999999906e-05,0.018503351521134064,-0.06566666666666653,0.012766666666666667,-0.31725004042800803,-0.25380003234240645,10.0,0.04761904761904767,0.408,False,AF3_AF4,alpha,EEG_EEG,1.0,0.7795364376696596
1,-0.018799999999999952,0.00014509000000000397,0.018387265590399743,-0.05109999999999989,0.0207666666666666,-0.3801016860708091,-0.3040813488566473,6.0,0.4285714285714286,0.3164,False,AF3_AFz,alpha,EEG_EEG,1.0,0.7153800592300099
2,-0.0026999999999999663,0.00019110999999999998,0.01830354027598395,-0.033866666666666635,0.03670000000000005,-0.05552636555073497,-0.04442109244058798,9.0,0.14285714285714285,0.8926,False,AF3_C1,alpha,EEG_EEG,1.0,0.9658213188371544
3,-0.0208333333333333,6.624000000000213e-05,0.022529242800220534,-0.07996666666666662,0.013366666666666685,-0.34364896779368354,-0.27491917423494683,8.0,0.23809523809523814,0.3728,False,AF3_C2,alpha,EEG_EEG,1.0,0.7549104180491042
4,-0.004533333333333302,7.818000000000061e-05,0.016238865583628526,-0.03713333333333325,0.02529999999999998,-0.10510977964077016,-0.08408782371261614,10.0,0.04761904761904767,0.8108,False,AF3_C5,alpha,EEG_EEG,1.0,0.9440808543096874
5,-0.02196666666666665,8.371666666667082e-05,0.02093691764610353,-0.08353333333333324,0.007700000000000032,-0.3910810497952267,-0.31286483983618135,8.0,0.23809523809523814,0.3388,False,AF3_C6,alpha,EEG_EEG,1.0,0.7308788878416589
6,-0.014899999999999983,-7.083000000000089e-05,0.009313887057029397,-0.03326666666666663,0.003033333333333315,-0.5947736514716423,-0.47581892117731384,4.0,0.6190476190476191,0.1114,False,AF3_CP3,alpha,EEG_EEG,1.0,0.466717032967033
7,-0.05889999999999999,6.45866666666578e-05,0.03358846378191707,-0.1642227765691759,-0.0161333333333333,-0.6525224145861579,-0.5220179316689263,1.0,0.9047619047619047,0.002,True,AF3_CP4,alpha,EEG_EEG,1.0,0.031443298969072164
8,-0.03489999999999999,2.6770000000002347e-05,0.01965876980808056,-0.08149999999999995,-0.002899999999999998,-0.6623304336420592,-0.5298643469136474,4.0,0.6190476190476191,0.0544,True,AF3_CPz,alpha,EEG_EEG,1.0,0.31148936170212765
9,-0.014099999999999982,-0.00010017000000000012,0.009032604157162484,-0.03869999999999999,-0.0007666666666666496,-0.587412302626179,-0.46992984210094324,5.0,0.5238095238095237,0.0784,True,AF3_F1,alpha,EEG_EEG,1.0,0.38423138725227635
10,-0.002666666666666652,8.08333333333338e-05,0.016563847170368767,-0.04743333333333332,0.02180000000000003,-0.0602632200433009,-0.04821057603464072,9.0,-0.14285714285714285,0.948,False,AF3_F2,alpha,EEG_EEG,1.0,0.9818805159538357
11,-0.0129,5.808333333333533e-05,0.006992264376020594,-0.02523333333333333,0.0021666666666666674,-0.6904855570508419,-0.5523884456406736,3.0,0.7142857142857142,0.0738,False,AF3_F5,alpha,EEG_EEG,1.0,0.3706201975850714
12,-0.030299999999999966,0.00011579333333332914,0.01772025320591478,-0.08253333333333333,-0.005199999999999984,-0.6381841597645825,-0.510547327811666,4.0,0.6190476190476191,0.023,True,AF3_F6,alpha,EEG_EEG,1.0,0.18806970509383378
13,-0.04919999999999996,0.0002379800000000057,0.020055313138297177,-0.08883333333333328,-0.010799999999999968,-0.9141608933759316,-0.7313287147007453,2.0,0.8095238095238095,0.0126,True,AF3_FC3,alpha,EEG_EEG,1.0,0.12572519083969466
14,0.0006500000000000346,3.456500000000029e-05,0.01703610871745648,-0.04581666666666658,0.026166666666666685,0.014297580625129666,0.011438064500103734,8.0,-0.23809523809523814,0.8734,False,AF3_FC4,alpha,EEG_EEG,1.0,0.9593769507803122
15,-0.021399999999999964,0.00014459666666666662,0.014188304891454697,-0.05056666666666659,0.005200000000000017,-0.5636452448085135,-0.45091619584681086,4.0,0.6190476190476191,0.1374,False,AF3_FCz,alpha,EEG_EEG,1.0,0.5133564720293997
16,-0.014133333333333336,-8.449999999996655e-06,0.016155197052952396,-0.050444139549816885,0.014133333333333368,-0.32596010212867504,-0.26076808170294,9.0,0.14285714285714285,0.4218,False,AF3_FFT8h,alpha,EEG_EEG,1.0,0.7908147389969294
17,-0.020333333333333297,0.0001470399999999976,0.015254511351457068,-0.050599999999999944,0.006933333333333301,-0.4977118526935451,-0.3981694821548361,4.0,0.6190476190476191,0.1772,False,AF3_FTT7h,alpha,EEG_EEG,1.0,0.5786509635974304
18,-0.017999999999999985,0.00021986333333333385,0.019960231227874364,-0.05169999999999997,0.02776666666666666,-0.338188173322135,-0.270550538657708,5.0,0.5238095238095237,0.373,False,AF3_P1,alpha,EEG_EEG,1.0,0.7549104180491042
19,-0.02026666666666663,6.970333333333398e-05,0.008530761148845708,-0.03776666666666658,-0.004333333333333317,-0.8811438740952554,-0.7049150992762043,2.0,0.8095238095238095,0.0132,True,AF3_P2,alpha,EEG_EEG,1.0,0.1301508620689655
20,-0.02839999999999997,0.00010432333333333654,0.012815342466395941,-0.05436666666666664,-0.003933333333333318,-0.8281044860755921,-0.6624835888604736,3.0,0.7142857142857142,0.0234,True,AF3_P5,alpha,EEG_EEG,1.0,0.19032000000000002
21,-0.019199999999999984,-2.3183333333336165e-05,0.016871393506950993,-0.0632999999999999,0.007299999999999965,-0.423459268395998,-0.33876741471679844,8.0,0.23809523809523814,0.2374,False,AF3_P6,alpha,EEG_EEG,1.0,0.6546745027124774
22,-0.022666666666666616,-4.8833333333338225e-06,0.01585069978258057,-0.05003333333333326,0.012133333333333366,-0.5307467030650354,-0.4245973624520283,3.0,0.7142857142857142,0.1844,False,AF3_PO3,alpha,EEG_EEG,1.0,0.5874860724233985
23,-0.04529999999999992,0.00017345000000000554,0.024580074041289552,-0.11519999999999991,-0.010533333333333264,-0.6866452249499396,-0.5493161799599517,2.0,0.8095238095238095,0.0202,True,AF3_PO4,alpha,EEG_EEG,1.0,0.17066481994459834
